,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/05/25 19:00:00+00,0.100000,13.600000,1.200000,18.900000,35.600000,51.600000,0,0,,31.200000,34.900000,,8.600000,28.100000,0.600000,2.900000,0.900000,0.600000,0.400000,1.100000,0.800000,0.300000,6.600000,0,2.100000,0,0.200000,0.700000,0.200000,1,0.100000,0,0.200000,1.900000,1.300000,,0.300000,0.200000,21.700000,0.600000,3503
2020/05/25 20:00:00+00,0,17.400000,4.800000,10.100000,39.200000,51.200000,0,0,,30.300000,22.400000,,5.200000,18.200000,0.800000,1,0.800000,0,0.200000,0.500000,0.700000,0.100000,5.400000,0,0.300000,0,0.100000,0.600000,0,0.400000,0.100000,0,0,1.800000,3,0.300000,0.300000,0.300000,17.300000,0.500000,3504
2020/05/25 21:00:00+00,0.300000,20.500000,2.900000,8.300000,29.600000,49.700000,0,0,,29.200000,35,,12.800000,16.800000,1.100000,1.300000,0.500000,0,1,0.400000,0.500000,0.100000,2.900000,0,0.300000,,0.100000,0.400000,0,0.100000,0,0,0,1.100000,2,0.100000,0.200000,0,18.700000,0.800000,3505
2020/05/25 22:00:00+00,0.100000,10.600000,3.100000,10.700000,34,50.200000,0,0.200000,,38.600000,26.200000,,7.600000,16.600000,1.800000,1.700000,0.700000,0.100000,1.800000,0.500000,1,0.100000,1.700000,0,0.900000,,0.100000,0.200000,0,0.300000,0.100000,0,0,1,1.900000,0.200000,0.400000,0,16.600000,0,3506
2020/05/25 23:00:00+00,0.100000,6.100000,3.600000,7.400000,16.300000,44.100000,0,0,,24.900000,23.400000,,11.900000,8.900000,0.500000,1.500000,0.400000,0,1.500000,0.800000,0.900000,0,1.100000,0,1,,0.100000,0.500000,0,0,0.200000,0,0,0.800000,2.700000,0.100000,0,0,5.700000,0.300000,3507
2020/05/26 00:00:00+00,0.200000,7.900000,5.500000,2.100000,72.800000,30.800000,0,0,,30.400000,14.700000,,4.500000,3.300000,0.500000,0.800000,0.500000,0,1.900000,0.100000,0.400000,0.300000,0.800000,0,0.300000,,0.100000,0.900000,0,0,0.100000,0,0,1,0.800000,0.100000,0,0,4.300000,0.200000,3508
2020/05/26 01:00:00+00,0.100000,4.100000,0.700000,4.600000,49.200000,17.200000,0,0.100000,,16.300000,9.300000,,2,1.100000,0.400000,0.700000,0.700000,0,0.600000,0.100000,0.600000,0,0.300000,0,,,0.100000,0.700000,0,0,0,0,0,1.100000,0,0.200000,0,0,2.700000,0.700000,3509
2020/05/26 02:00:00+00,0,3.900000,1.900000,1.300000,24.800000,24,0,0,,21.100000,7.100000,,2.600000,3.300000,0.500000,0.400000,0.700000,0.400000,1.400000,0,0.500000,0.200000,0.200000,0,0.800000,,0.100000,0.200000,0,0,0.100000,0,0,1.100000,0,0.200000,0,0,3,1,3510
2020/05/26 03:00:00+00,1.200000,9.600000,0.600000,1.800000,30.200000,43.200000,1.100000,0.100000,,36,12.300000,,4.900000,2.300000,0.600000,1.100000,0.700000,0.800000,1.500000,0,0.600000,0.300000,0.600000,0,0.400000,,0.100000,0.300000,0,0.200000,0.100000,0,0,0.900000,0.100000,0.300000,0.100000,0,6.500000,0.500000,3511
2020/05/26 04:00:00+00,0.300000,40.800000,4.700000,6.500000,67.800000,90.800000,11.600000,0.100000,,65.500000,52.200000,,4.600000,13.100000,0.800000,2.100000,0.700000,2.300000,1.200000,0.700000,1,0.200000,1.900000,0,0.300000,,0.200000,0.600000,0,1,0.100000,0,0,1.100000,0.200000,0.300000,1.400000,0.100000,9.400000,0.600000,3512
2020/05/26 05:00:00+00,0.600000,67.500000,16.600000,16.600000,95.400000,139.100000,90.900000,0.800000,,94.600000,90.300000,,2.900000,37.400000,2.400000,5.300000,0.800000,4.400000,1.200000,1.800000,9.600000,0.700000,9.500000,0.300000,0.800000,,0.700000,1.400000,0.100000,5,0.100000,0,2.100000,2.300000,5.100000,5.100000,1.100000,1.800000,59.600000,2.800000,3513
2020/05/26 06:00:00+00,4.600000,94.500000,29.900000,47.400000,153.800000,140,58.300000,4.200000,,128.200000,95.700000,,13.600000,98.900000,9.700000,15.700000,2.400000,10.800000,3.100000,6.200000,8.400000,2.600000,7.100000,2.500000,3.400000,0.700000,3.200000,8.800000,3.200000,19.700000,0.500000,0,7.600000,7.300000,23.100000,5.200000,4.800000,6.300000,31.100000,5.100000,3514
2020/05/26 07:00:00+00,13,82.100000,20.700000,58.100000,84.500000,137.700000,3.700000,10.400000,,107.900000,87.400000,,30.800000,134,8.800000,27.300000,7,17.700000,5.900000,6.800000,11.100000,5.600000,7.400000,3.700000,3.900000,4.800000,8.300000,14.100000,11.100000,16.700000,0.800000,0.900000,5.200000,7.100000,33.400000,5.500000,7.800000,9.100000,36.300000,11.500000,3515
2020/05/26 08:00:00+00,13.500000,49.600000,12.700000,53.500000,63.400000,81.500000,1.600000,7.500000,165.200000,79.800000,85.200000,,37.100000,116.600000,14.200000,16.500000,7.300000,11.100000,4.200000,5.600000,4.700000,4.600000,4.700000,1.500000,3.900000,4.300000,6.100000,11.100000,10.500000,11.100000,0.900000,1.500000,4.300000,5,28.500000,7,6.600000,9.200000,24.700000,14.100000,3516
2020/05/26 09:00:00+00,6.500000,25.200000,12.200000,47.700000,68,90.200000,1,,151,71.800000,69.200000,,28.300000,82.400000,4.800000,16.400000,5.700000,12.700000,3.400000,4.900000,4.500000,2.600000,6.100000,0.800000,3.300000,2.700000,5.300000,7.100000,4.900000,9.600000,0.200000,1.600000,3.800000,4.200000,19,7.200000,2.800000,7,22.600000,9.100000,3517
2020/05/26 10:00:00+00,3,22.800000,4.300000,33.100000,51,60.500000,0.400000,,139.600000,56.700000,40.500000,,20.500000,45.100000,2.100000,9.400000,3.200000,3.700000,2,2.600000,2.100000,1.500000,6.300000,0.300000,3.600000,0,2.300000,2.700000,1.900000,4.200000,0.200000,1.900000,,2,7.600000,2.200000,2.500000,2,19.500000,4.900000,3518
2020/05/26 11:00:00+00,1.500000,20.800000,3,25.200000,40,62.400000,0.300000,,135.300000,49,38.900000,,21.800000,32.200000,1.200000,7.100000,1.800000,2.700000,1.300000,1.900000,1.100000,0.700000,6.200000,0.100000,1.600000,0,1.300000,1.700000,1,2.400000,0.100000,2,1,1.400000,9.600000,1.600000,1.700000,0.900000,23.400000,2.200000,3519
2020/05/26 12:00:00+00,1,23.100000,2.800000,26.800000,41.400000,66,0,,144.900000,65.600000,30.900000,,16.300000,,1.500000,5.400000,1.400000,2.800000,0.500000,1.500000,0.700000,0.600000,6,0.300000,1.200000,0,1.900000,2,0.500000,2.600000,0.100000,0.600000,0.400000,1.900000,8.600000,1.100000,0.700000,0.500000,21.200000,1.900000,3520
2020/05/26 13:00:00+00,1,19.500000,4.600000,,40.700000,79.500000,0.500000,,123.300000,51.100000,43,,17.300000,,1.500000,4.800000,1.200000,1.700000,0.700000,1.300000,1.100000,0.600000,5.500000,0.400000,0.900000,0,0.900000,1.600000,0.200000,3.700000,0,0.100000,0.700000,1.500000,5.900000,0.800000,1.200000,1.100000,15.300000,1.600000,3521
2020/05/26 14:00:00+00,,20.100000,2,,51.500000,71.400000,0.100000,3,117.800000,45.500000,42.300000,,11.600000,68.900000,1.300000,4.200000,1.200000,4,1.200000,1.400000,1.100000,0.600000,5.900000,0.100000,1,0,0.700000,1.600000,0,2.500000,0.400000,0,1,1.500000,5.800000,0.600000,0.500000,0.500000,80.700000,1.100000,3522
2020/05/26 15:00:00+00,1,23.600000,2.200000,27.400000,68.300000,66.200000,0.400000,1.100000,113,51.300000,42.900000,,,71.700000,1.100000,4.900000,1.100000,3.600000,1.500000,1.400000,1.200000,0.600000,4.500000,0.300000,1.900000,0,0.400000,1.600000,0,2,0.200000,0,1.600000,1.300000,10.600000,0.600000,0.800000,0.400000,74.400000,1.200000,3523
2020/05/26 16:00:00+00,0.900000,34,4.300000,32.800000,43.100000,60.700000,0,0.200000,115,45.800000,48.600000,,26.800000,46.600000,1.100000,6.600000,1,3.100000,0.100000,1.300000,1,0.500000,7,0.200000,1.600000,0,0.400000,1.300000,0,1.600000,0.100000,0,0.700000,1.900000,7,1,1.100000,0.900000,49.200000,1,3524
2020/05/26 17:00:00+00,0.800000,37,2.100000,28.600000,50.300000,56.200000,0.100000,0,103.500000,44.900000,37.100000,,6.900000,45.800000,1.400000,5.700000,0.700000,1.300000,0.400000,1.100000,1.200000,0.600000,5.900000,0,0.600000,0,0.300000,1.100000,0,1.700000,0.100000,0,0.600000,1.800000,7,0.800000,1,0.900000,26.800000,1.100000,3525
2020/05/26 18:00:00+00,0.600000,35.800000,1.900000,29.200000,30.300000,38.800000,0.100000,0,86,30.500000,26.400000,,9.600000,33.100000,0.700000,4.600000,1,1.900000,0.500000,1,0.900000,0.500000,5.500000,0.100000,0.600000,0,0.300000,1.200000,0,1.200000,0,0,0.600000,1.100000,3.300000,0.400000,0.600000,0.100000,13.300000,1,3526
2020/05/26 19:00:00+00,0.400000,28.600000,1.200000,15.400000,30.600000,45.300000,0,0,86.600000,27.800000,31.300000,,7,23.600000,0.700000,3.200000,0.800000,0.600000,0.800000,0.200000,0.700000,0.300000,5.800000,0,0.500000,0,0.100000,0.900000,0,0.700000,0.100000,0,0,1,3.100000,0.300000,0.500000,0.100000,20.900000,0.800000,3527
2020/05/26 20:00:00+00,0.300000,18.400000,0.400000,12.700000,30.600000,45.300000,0,0,73.800000,20.100000,24.700000,,2.400000,16.500000,0.600000,2.500000,0.800000,0,0.300000,0.400000,1.100000,0.200000,4,0,0.200000,0,0.100000,1,0,0.400000,0,0,0,1,0.700000,0.100000,0,0,11.100000,0.200000,3528
2020/05/26 21:00:00+00,0.100000,33.600000,1.500000,10.200000,29.100000,46.500000,0,0,67.500000,24.200000,17.200000,,2.600000,17.400000,0.400000,1.600000,0.600000,0.200000,0.400000,0.300000,0.600000,0,2.100000,0,0.200000,0,0.100000,0.400000,0,0.100000,0,0,0,0.700000,1.300000,0,0,0,7.800000,0.200000,3529
2020/05/26 22:00:00+00,0,8.500000,3.500000,10.800000,16.800000,27.900000,0,0,36.500000,32.500000,32.100000,,12.300000,20.100000,2.400000,2.100000,0.600000,0.300000,0.600000,0.100000,0.800000,0.100000,1.100000,0,0.400000,0,0.100000,0.500000,0,0.200000,0.200000,0,0,1.100000,0.600000,0.100000,0,0,5.900000,0.300000,3530
2020/05/26 23:00:00+00,0,7.700000,2,9,16.900000,13.400000,0,0,36.400000,20.200000,19.800000,,3,7.900000,3.200000,1.500000,0.800000,0.600000,1.100000,0.200000,0.500000,0.200000,1.200000,0,1.400000,,0.100000,0.400000,0,0.300000,0,0,0,1.100000,0.100000,0.100000,0,0,2.400000,0.500000,3531
2020/05/27 00:00:00+00,0,7.300000,1,3.400000,19.300000,15.600000,0,0,25.800000,9.200000,7.400000,,2.700000,4,0.600000,0.300000,0.500000,0.400000,1.200000,0,0.400000,0,1,0,0.300000,,0.100000,0.200000,0,0,0.100000,0,0,1.300000,0.800000,0.100000,0,0.100000,4.200000,0.600000,3532
2020/05/27 01:00:00+00,0,6.900000,0.100000,1.900000,12.100000,16.900000,0,0,20.900000,8.300000,6.500000,,1.800000,4.800000,0.900000,0.400000,0.600000,0,1.200000,0,0.700000,0,0.200000,0,0.500000,,0.100000,0.300000,0,0,0.400000,0,0,0.800000,0.300000,0.100000,0.500000,0,4,0.200000,3533
2020/05/27 02:00:00+00,0.300000,4.700000,0.100000,1.200000,13,11.700000,0,0,22.800000,8.200000,8.500000,,2.300000,1.700000,0.600000,0.200000,0.500000,0,1.600000,0,0.500000,0.200000,0,0,0.300000,,0.100000,0.400000,0,0,0.200000,0,0,1.400000,0.100000,0.100000,0,0,1.900000,0,3534
2020/05/27 03:00:00+00,0.400000,7.700000,1,3.900000,24.200000,35.500000,0.200000,0,55.900000,22.900000,8.700000,,8.900000,2.300000,0.500000,1.900000,0.700000,0.400000,1.100000,0,0.700000,0.300000,0,0,0.400000,,0.100000,0.200000,0,0,0,0,0,0.900000,0,0.100000,0,0,2.900000,0.100000,3535
2020/05/27 04:00:00+00,0.200000,37.700000,1.700000,3.800000,87.800000,51.500000,0.600000,0,119.400000,44.500000,27.800000,,6.600000,8.100000,0.900000,1,0.900000,1.400000,1.300000,1.200000,0.600000,0.200000,0.300000,0,0.500000,,0.100000,0.300000,0,0.100000,0.100000,0,0,1,0.200000,0.100000,0,0.200000,7.500000,0.300000,3536
2020/05/27 05:00:00+00,0.400000,73.700000,8.600000,18.200000,116.200000,97.500000,1,0,135.400000,94,86.700000,,4.100000,38.100000,2.300000,7.100000,1.100000,3.200000,1.200000,1.500000,5.700000,0.800000,2.100000,0.300000,0.900000,,0.400000,0.900000,0.100000,3.200000,0.200000,0,0.400000,3.100000,3.400000,1.500000,0.400000,1.300000,21.600000,1,3537
2020/05/27 06:00:00+00,3.300000,108.200000,33.800000,40.800000,175.200000,69.300000,1.500000,1.200000,131,98.900000,88.800000,,17.600000,99.500000,5.500000,7.700000,2.200000,5.800000,3.300000,3.500000,5.500000,2.500000,3.300000,1.800000,4.500000,0.200000,2.900000,4.400000,2.400000,10.500000,0.200000,0,3,5.900000,6.600000,3.600000,2.600000,8.400000,19.500000,3.600000,3538
2020/05/27 07:00:00+00,7.200000,85.400000,14.900000,45.500000,85.100000,111.600000,1.300000,4.900000,157.100000,72.400000,78.500000,,40.800000,120.200000,5.600000,11.400000,6.200000,7.600000,4.800000,4.400000,5.800000,5.100000,4.200000,1.900000,3.900000,2.900000,5.300000,12,8.500000,13,1,0.500000,3.800000,4.400000,15.300000,5.400000,5.500000,8.700000,36.100000,10,3539
2020/05/27 08:00:00+00,10,26,11.700000,59.600000,101,77.100000,1.500000,5.600000,146.700000,72.800000,69.400000,,37.100000,113.700000,6.100000,14,8.600000,12.200000,4.100000,5.600000,9.100000,3.900000,6.600000,0.800000,5.200000,6.400000,7.600000,6.800000,9.300000,12.600000,0.900000,1.200000,4.100000,4.800000,17.600000,7.500000,5,6.800000,28.900000,10.700000,3540
2020/05/27 09:00:00+00,6.800000,37,6.300000,38.100000,61.800000,57.600000,0.600000,1.500000,135.700000,54.700000,66.700000,,46.700000,73.700000,3.400000,11.800000,5.600000,9.700000,3.800000,4.100000,3.100000,2,4.800000,1,4.900000,1.800000,3.700000,5.600000,4.100000,7.100000,0.800000,1.700000,3.100000,3,11.300000,4.800000,3.300000,8.600000,12.300000,8.100000,3541
2020/05/27 10:00:00+00,3.100000,19.200000,7.400000,29.100000,58.200000,68.200000,0.500000,0,142.300000,60.900000,46.100000,,31.800000,49.100000,1.600000,10,3,6.900000,2.400000,1.900000,1.900000,0.900000,5,0.300000,2.700000,0.100000,1.900000,2.600000,2.300000,4.200000,0.200000,1.900000,1.200000,2.500000,10.600000,3,1.700000,3.700000,15.600000,4.400000,3542
2020/05/27 11:00:00+00,1.400000,22.100000,2,31.800000,40.300000,55.700000,0,0,121.500000,46.700000,43.600000,,14.900000,42.900000,1,4.700000,2,6.600000,1.100000,1.700000,1,0.700000,2.300000,0.400000,0.900000,,6.900000,1.300000,0.600000,1.900000,0.100000,1.300000,0.600000,1.200000,7.700000,1.600000,1.800000,1.100000,29.400000,,3543
2020/05/27 12:00:00+00,0.700000,21.200000,2,23.200000,48.800000,66.900000,0,0,110.700000,49,35.300000,,17,38.300000,1.100000,6.700000,1.300000,3.300000,0.500000,1.100000,0.700000,0.500000,3.700000,0.100000,0.700000,,0.500000,1,0.300000,2.300000,0.100000,0.900000,0.400000,1.300000,5,1,1.500000,0.400000,17.800000,1.200000,3544
2020/05/27 13:00:00+00,0.700000,18.500000,3,22.800000,50.100000,58.800000,0.100000,0,101.400000,48.300000,36.800000,,19.500000,35.800000,0.600000,5.700000,1.300000,,0.900000,1.400000,0.600000,0.400000,4.100000,0.100000,0.600000,,1,2.100000,0.800000,1.700000,0.300000,0.200000,0.100000,1.800000,4.500000,0.600000,0.700000,0.800000,18.900000,1.700000,3545
2020/05/27 14:00:00+00,0.700000,23,9.600000,27.500000,51.800000,110.700000,0,0,115.900000,44.600000,54.200000,,12.500000,53.800000,0.800000,4.500000,1.100000,,0.900000,1.100000,1.100000,0.400000,5.400000,0.200000,0.600000,,0.400000,1.300000,0,2.100000,0,0,0.100000,1,5.800000,0.500000,0.600000,,23.200000,1.200000,3546
2020/05/27 15:00:00+00,0.400000,39.600000,3.800000,23.300000,60.100000,70.300000,0.100000,0,101.400000,50.500000,66.800000,,21.100000,61.300000,1,5.400000,1.200000,,0.900000,1.100000,1,0.500000,4.500000,0,1,,0.300000,1.300000,0,2.200000,0.100000,0,0.900000,1.200000,2,0.600000,0.800000,,16.900000,1.200000,3547
2020/05/27 16:00:00+00,0.500000,36,5.500000,29.300000,66.300000,60.600000,0,0,106.700000,41,78.300000,,10.700000,78.400000,1,7.800000,1,3.800000,0.600000,1.300000,1.100000,0.700000,6.300000,0,0.900000,,0.200000,1.300000,0.200000,2.400000,0.200000,0,0.400000,1.900000,3.200000,0.800000,1.200000,1.100000,9.500000,1.300000,3548
2020/05/27 17:00:00+00,0.800000,34.900000,4.600000,31,49.100000,65.600000,0,,84.700000,37.100000,77.200000,,13.500000,64.800000,0.900000,4.800000,0.800000,3.800000,1,1.100000,0.700000,0.600000,6.400000,0.100000,0.600000,,0.500000,1.100000,0,1.600000,0,0,0.600000,1.300000,6,0.900000,0.900000,0.800000,15.400000,1.200000,3549
2020/05/27 18:00:00+00,0.700000,22.900000,3.300000,25.900000,42.800000,66.200000,0,,96.600000,29.600000,41.500000,,9.100000,55.700000,0.800000,3.700000,0.800000,1.700000,0.400000,0.800000,0.800000,0.600000,11.400000,0,0.700000,,0.300000,1.100000,0.100000,1.500000,0.100000,0,0,1.800000,2.600000,0.600000,0.800000,0.100000,15,1,3550
2020/05/27 19:00:00+00,0.300000,28.700000,1.700000,17.900000,36.300000,40,0,,86,25.700000,26.100000,,12.600000,30.200000,0.800000,2.600000,0.900000,0.500000,0.500000,1,0.700000,0.200000,4.300000,0,0.800000,,0.400000,0.800000,0.100000,1.500000,0,0,0,1,1.600000,0.300000,0.100000,0,7.900000,0.400000,3551
2020/05/27 20:00:00+00,0.200000,25.100000,1.400000,14.500000,31.600000,43.400000,0,,82,21.800000,23.600000,,1.800000,16,0.800000,1.800000,0.700000,0,0.700000,0.800000,0.400000,0.200000,4.100000,0,0.500000,,0.100000,0.400000,0,0.600000,0.100000,0,0,1,0.300000,0.100000,0.400000,0,6.400000,0.600000,3552
2020/05/27 21:00:00+00,0,30.100000,1,12,29.800000,24.900000,0,,58.500000,20.800000,12.200000,,4.400000,13.700000,0.800000,0.800000,0.600000,0.500000,0.600000,0,0.500000,0.200000,2.900000,0,0.300000,,0.200000,1,0,0.300000,0.100000,0,0,0.900000,0.200000,0.300000,0.100000,0.100000,5.400000,0.600000,3553
2020/05/27 22:00:00+00,0.100000,9.900000,2,10.700000,11.400000,22.800000,0,,47.600000,16.700000,11,,4,15,0.300000,1.500000,0.700000,0.800000,0.900000,0.100000,0.500000,0.100000,1.600000,0,0.300000,,0.200000,0.600000,0,0.100000,0.100000,0,0,0.700000,0.300000,0.300000,0,0.100000,5.600000,0.400000,3554
2020/05/27 23:00:00+00,0.100000,7,1,10,8.900000,25.400000,0,,59.800000,12.300000,14,,5.100000,10.700000,0.200000,0.800000,0.500000,0.100000,1.200000,0.100000,0.300000,0,0.900000,0,0.900000,,0.100000,0.500000,0,0.100000,0,0,0,1.100000,0.100000,0.200000,0.100000,0,4.800000,0.500000,3555
2020/05/28 00:00:00+00,0.100000,3.900000,0.600000,4.800000,4,15.400000,0,,38.600000,11,7.400000,,0.700000,9.200000,0.300000,1.200000,0.900000,0.900000,1.400000,0,0.200000,0,0.100000,0,0.100000,,0.100000,0.600000,0,0,0,0,0,0.900000,0.100000,0.200000,0,0,4.600000,0.300000,3556
2020/05/28 01:00:00+00,0.100000,7.500000,0.100000,2.800000,9.900000,13.200000,0,,45.400000,8.700000,8.400000,,0.600000,2.500000,0.200000,,0.700000,0.300000,1.600000,0.100000,0.500000,0,0.200000,0,0.300000,,0.100000,0.400000,0,0,0.100000,0,0,0.900000,0,0.100000,0,0,2.700000,0.100000,3557
2020/05/28 02:00:00+00,0.100000,3.100000,3.200000,,13.200000,10,0,,52.400000,10.900000,5.400000,,1.300000,3,0.600000,2.900000,0.700000,1.300000,1,0.100000,0.800000,0,0,0,0.100000,,0.100000,0.100000,0,0.400000,0,0,0,0.800000,0,0.300000,0,0,2.300000,0.400000,3558
2020/05/28 03:00:00+00,0.100000,5,1.200000,3.800000,30.100000,12.400000,0,,60.900000,14,6.500000,,2.400000,4.100000,0.500000,2.400000,0.700000,0.200000,1.300000,0.100000,0.800000,0,0.100000,0,1.200000,,0.100000,0.400000,0,0.300000,0.100000,0,0,0.800000,0,0.300000,0,0,2.400000,0.300000,3559
2020/05/28 04:00:00+00,0.100000,17.600000,4.200000,3.800000,59.600000,29.600000,0.100000,0,96.900000,38.300000,23.500000,,2.100000,12.600000,1.200000,8.100000,0.900000,1.700000,0.700000,0.300000,0.700000,0.200000,1,0,0.500000,,0.100000,0.300000,0,0.700000,0.100000,0,0,1,0,0.500000,0,0.200000,5.200000,0.400000,3560
2020/05/28 05:00:00+00,0.300000,30.700000,4.700000,14.900000,114.300000,40.300000,0.100000,0,159.700000,63.700000,54,,3.200000,26.700000,1.300000,4.100000,1.100000,0.800000,0.900000,1.300000,1.500000,0.400000,2.600000,0.200000,0.800000,,0.900000,0.900000,0.200000,4.100000,0.300000,0,0.500000,1.300000,1.800000,0.700000,0.400000,2.300000,12.800000,1.400000,3561
2020/05/28 06:00:00+00,2.500000,42.600000,17.100000,37.600000,133.700000,63.600000,1.200000,1,145.500000,79.500000,60.800000,,13.300000,82.600000,3.100000,9.100000,3.200000,6.100000,2.900000,2.500000,2.600000,1.500000,4,1,2.100000,,3.400000,5.200000,2.200000,6.200000,0.400000,0.100000,2,2.800000,5.500000,3.400000,2.800000,8.100000,18.800000,4,3562
2020/05/28 07:00:00+00,5.300000,55.800000,20.500000,46.600000,92.900000,80,2.500000,4.200000,141.200000,59.800000,69.400000,,27.100000,98.100000,4.900000,16.200000,5.100000,7,6.800000,3.900000,3.500000,2.800000,7.400000,2.100000,4,,4.100000,7.700000,5.800000,5.300000,1.200000,1.400000,3,3.800000,11.500000,4.100000,4.900000,12.600000,15.700000,8.100000,3563
2020/05/28 08:00:00+00,6.900000,53.300000,19.200000,45.400000,89.700000,56.200000,2,3.600000,137.500000,70.800000,85.100000,,25.600000,89.400000,4.900000,18.800000,5.900000,10,8.600000,3.900000,3.800000,3.100000,6.100000,2.200000,6.400000,,6.400000,9.900000,7.500000,9.300000,1.600000,2.500000,4.400000,4.300000,10.600000,4.400000,4.100000,13.900000,15.400000,8.900000,3564
2020/05/28 09:00:00+00,6.800000,44.600000,14.200000,37.700000,68.400000,56.400000,2,3.200000,94,66.500000,68.300000,,18.500000,79.800000,4.400000,20.500000,6.400000,10.600000,6.500000,3.800000,3.800000,2.300000,8.300000,1.700000,5.900000,,5.200000,7.700000,7.100000,8.600000,1.300000,2.200000,3.700000,3.100000,7.700000,3.700000,3.800000,11.600000,14.300000,8.200000,3565
2020/05/28 10:00:00+00,4.600000,40.700000,8.500000,33.300000,81.100000,48.400000,1.400000,1.500000,137.900000,58.400000,57.200000,,21.700000,69.500000,3.400000,12.500000,4.400000,7.500000,4.700000,3.100000,2.500000,1.900000,7.200000,2.500000,3.800000,,3.200000,6.200000,4.400000,6.200000,0.800000,1.800000,3.300000,2,6.600000,3,2.700000,5.800000,15.900000,6,3566
2020/05/28 11:00:00+00,2.200000,20.800000,4.200000,27.500000,58.200000,53.800000,0.900000,0,119.400000,54,46.500000,,23.900000,53.600000,2.200000,7.800000,2.200000,2.900000,2,3,1.600000,,5.800000,1.200000,2.300000,,2,2.800000,1.400000,3,0.400000,1,1.300000,2.300000,6.500000,2,1.300000,1.900000,26.600000,3.400000,3567
2020/05/28 12:00:00+00,1.300000,17.400000,2.700000,26.500000,50.500000,54.300000,0.500000,0,117.200000,47.800000,30,,23.700000,52.200000,1.600000,6.100000,1.800000,1.800000,1.400000,1.900000,1,,5.200000,0.800000,2.500000,,0.900000,1.400000,0.700000,2.500000,0.200000,0.400000,1.100000,1.800000,7.300000,1.300000,1.100000,1.300000,49.200000,2,3568
2020/05/28 13:00:00+00,0.800000,33.200000,2.500000,27.300000,47.600000,63.900000,0.300000,0.200000,132.200000,50.900000,28.900000,,16.100000,53.200000,1,6.900000,1.900000,2.900000,0.800000,2.100000,2.500000,,6.800000,0.400000,1.300000,,1,1.200000,0.700000,2.800000,0.400000,0.100000,0.500000,1.700000,7.900000,1.100000,1.800000,0.900000,29.200000,1.700000,3569
2020/05/28 14:00:00+00,1.100000,20.600000,3.700000,28.700000,43.700000,71.500000,0,0,136.700000,50.200000,31.500000,,17.500000,32,1.200000,5,1.300000,3.700000,1.200000,1.300000,2.800000,,4.100000,0.100000,2.400000,,0.600000,2.300000,0.100000,3.100000,0.100000,0,0.800000,1.500000,9.200000,1.100000,1,0.600000,28,1.900000,3570
2020/05/28 15:00:00+00,1.100000,38,2.600000,30.500000,37.900000,75.100000,0.200000,0,124.800000,54,38.700000,,21.800000,56.400000,1.100000,7.400000,1.600000,0.900000,1.100000,2.100000,2.800000,0.900000,5.400000,0.100000,0.900000,,0.800000,1.100000,0.200000,3.900000,0.300000,0,0.800000,1.100000,9.200000,1.700000,1.100000,0.200000,67.800000,2.500000,3571
2020/05/28 16:00:00+00,1,39.300000,3.900000,41.900000,61.200000,78.800000,0.200000,0,114.600000,55,34.200000,,14.600000,59.800000,1,6,1.300000,1.700000,0.700000,1.800000,0.600000,0.600000,6.700000,0,1.100000,,0.500000,1.300000,0.200000,2.800000,0,0,1.400000,1.600000,13.600000,1.400000,1.500000,1,44.600000,1.400000,3572
2020/05/28 17:00:00+00,0.800000,26.100000,3,25.900000,61.800000,67.800000,0,0,99.900000,40.300000,33.500000,,27.800000,31.200000,1.100000,5.300000,1.100000,1.300000,0.200000,1.200000,0.900000,0.600000,7.200000,0,1,,0.200000,0.900000,0,1.100000,0.100000,0.100000,1,1.700000,12.100000,1,1.300000,0.300000,34.700000,1.200000,3573
2020/05/28 18:00:00+00,0.600000,25.700000,0.900000,28.100000,41.900000,54.900000,0,0,90.900000,38.300000,38.200000,,13.400000,38.200000,0.700000,4.500000,1.100000,0.700000,0.500000,1.400000,0.800000,0.600000,7.500000,0,0.600000,,0.200000,1.200000,0.200000,0.800000,0.100000,0,0.100000,0.800000,14.100000,0.800000,0.300000,0,25.700000,1.200000,3574
2020/05/28 19:00:00+00,0.500000,12,0.600000,14.800000,32,50.200000,0.100000,0,86.200000,34.100000,36.800000,,17.200000,30.400000,1.100000,2.400000,0.500000,0.100000,0.500000,1,0.400000,0.100000,5.900000,0,0.500000,,0.100000,0.600000,0,0.700000,0,0,0,1.300000,5.200000,0.800000,0.700000,0,17,0.700000,3575
